exp_name,num_iterations,better_value,abs,elapsed
styblinkski|100|DE|0.6034272278953005|0.6562816489113248,1000,-39.16616570377142,4.29622858177936e-06,0.5359687805175781
styblinkski|100|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,-39.16616570377142,4.29622858177936e-06,0.6736185550689697
styblinkski|100|ABC|5,1000,-39.16616570377142,4.29622858177936e-06,2.2114310264587402
styblinkski|1000|DE|0.6034272278953005|0.6562816489113248,1000,-39.16616570377142,4.29622858177936e-06,0.5145905017852783
styblinkski|1000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,-39.16616570377142,4.29622858177936e-06,0.7716875076293945
styblinkski|1000|ABC|5,1000,-39.16616570377142,4.29622858177936e-06,3.0040953159332275
styblinkski|10000|DE|0.6034272278953005|0.6562816489113248,1000,-39.16616570377142,4.29622858177936e-06,0.44957900047302246
styblinkski|10000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,-39.16616570377142,4.29622858177936e-06,0.5706009864807129
styblinkski|10000|ABC|5,1000,-39.16616570377142,4.29622858177936e-06,2.8400003910064697
schaffer|100|DE|0.6034272278953005|0.6562816489113248,1000,0.29257863203598045,3.6796401953198554e-07,0.5731008052825928
schaffer|100|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,0.29257863203598045,3.6796401953198554e-07,0.8561513423919678
schaffer|100|ABC|5,1000,0.29257863203598045,3.6796401953198554e-07,2.6014902591705322
schaffer|1000|DE|0.6034272278953005|0.6562816489113248,1000,0.29257863203598045,3.6796401953198554e-07,0.6056067943572998
schaffer|1000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,0.29257863203598045,3.6796401953198554e-07,0.7336294651031494
schaffer|1000|ABC|5,1000,0.29257863203598045,3.6796401953198554e-07,2.825497627258301
schaffer|10000|DE|0.6034272278953005|0.6562816489113248,1000,0.29257863203598045,3.6796401953198554e-07,0.41857409477233887
schaffer|10000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,0.29257863203598045,3.6796401953198554e-07,0.6541152000427246
schaffer|10000|ABC|5,1000,0.29257863203598045,3.6796401953198554e-07,2.5595874786376953
eggholder|100|DE|0.6034272278953005|0.6562816489113248,2000,-1.7965890421143018e+308,1.7965890421143018e+308,1.090794563293457
eggholder|100|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,2000,-1.7965890421143018e+308,1.7965890421143018e+308,1.5392708778381348
eggholder|100|ABC|5,2000,-1.7965890421143018e+308,1.7965890421143018e+308,5.331468105316162
eggholder|1000|DE|0.6034272278953005|0.6562816489113248,2000,-1.7976646191418286e+308,1.7976646191418286e+308,1.0907065868377686
eggholder|1000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,2000,-1.7976646191418286e+308,1.7976646191418286e+308,1.4447548389434814
eggholder|1000|ABC|5,2000,-1.7976646191418286e+308,1.7976646191418286e+308,5.880618095397949
eggholder|10000|DE|0.6034272278953005|0.6562816489113248,2000,-1.7976571538205996e+308,1.7976571538205996e+308,0.8827040195465088
eggholder|10000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,2000,-1.7976571538205996e+308,1.7976571538205996e+308,1.101708173751831
eggholder|10000|ABC|5,2000,-1.7976571538205996e+308,1.7976571538205996e+308,5.637494087219238
crosstray|100|DE|0.6034272278953005|0.6562816489113248,2000,-inf,inf,1.2747249603271484
crosstray|100|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,2000,-inf,inf,1.602872610092163
crosstray|100|ABC|5,2000,-inf,inf,5.620098829269409
crosstray|1000|DE|0.6034272278953005|0.6562816489113248,2000,-inf,inf,1.265223503112793
crosstray|1000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,2000,-inf,inf,1.646322250366211
crosstray|1000|ABC|5,2000,-inf,inf,5.8865532875061035
crosstray|10000|DE|0.6034272278953005|0.6562816489113248,2000,-inf,inf,0.8956577777862549
crosstray|10000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,2000,-inf,inf,1.1882095336914062
crosstray|10000|ABC|5,2000,-inf,inf,6.047567129135132
himmelblau|100|DE|0.6034272278953005|0.6562816489113248,1000,0.0,0.0,0.5091037750244141
himmelblau|100|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,0.0,0.0,0.7891392707824707
himmelblau|100|ABC|5,1000,0.0,0.0,2.519444465637207
himmelblau|1000|DE|0.6034272278953005|0.6562816489113248,1000,0.0,0.0,0.6271109580993652
himmelblau|1000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,0.0,0.0,0.692847728729248
himmelblau|1000|ABC|5,1000,0.0,0.0,2.620476484298706
himmelblau|10000|DE|0.6034272278953005|0.6562816489113248,1000,0.0,0.0,0.39907073974609375
himmelblau|10000|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,0.0,0.0,0.45858049392700195
himmelblau|10000|ABC|5,1000,0.0,0.0,2.7560620307922363
levy|100|DE|0.6034272278953005|0.6562816489113248,1000,1.3497838043956716e-31,1.3497838043956716e-31,0.5571713447570801
levy|100|PSO|0.030685938822702763|0.8455361197086146|0.822282482603191,1000,1.3497838043956716e-31,1.3497838043956716e-31,0.8841559886932373
levy|100|ABC|5,1000,1.3497838043956716e-31,1.3497838043956716e-31,2.691474437713623
levy|1000|DE|0.6034272278953005|0.6562816489113248,1000,1.3497838043956716e-31,1.3497838043956716e-31,0.6816198825836182
